USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
xuan        3114  0.0  0.0 303924  6452 ?        Ssl  19:04   0:00 /snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
xuan        3115  0.0  0.1 185844  9508 ?        SLsl 19:04   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
xuan        3126  0.0  0.0   7560  3980 ?        Ss   19:04   0:00 /usr/bin/mpris-proxy
xuan        3127  0.3  0.3 496108 23896 ?        S<Lsl 19:04   0:19 /usr/bin/wireplumber
xuan        3130  0.0  0.0  87412  5448 ?        Ssl  19:04   0:00 /usr/bin/pipewire -c filter-chain.conf
xuan        3136  1.1  0.3 192348 25820 ?        S<Lsl 19:04   1:16 /usr/bin/pipewire-pulse
xuan        3215  0.0  0.0 615960  7040 ?        Ssl  19:04   0:00 /usr/libexec/xdg-document-portal
xuan        3229  0.0  0.0 309964  6640 ?        Ssl  19:04   0:00 /usr/libexec/xdg-permission-store
root        3236  0.0  0.0   2792  2240 ?        Ss   19:04   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
xuan        3266  0.0  0.0 170796  6448 tty2     Ssl+ 19:04   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
xuan        3278  0.0  0.1 175204  9208 tty2     Sl+  19:04   0:00 /usr/libexec/gnome-session-init-worker ubuntu
xuan        3445  0.0  0.1  97560  7724 ?        Ssl  19:04   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
xuan        3446  0.0  0.0  89808  5616 ?        Ssl  19:04   0:00 /usr/libexec/gnome-session-ctl --monitor
xuan        3447  0.0  0.0  10484  6268 ?        Ss   19:04   0:00 /usr/bin/ssh-agent -D
xuan        3459  0.0  0.1 315552  8840 ?        Ssl  19:04   0:00 /usr/libexec/gvfsd
xuan        3465  0.0  0.1 327236  7548 ?        Sl   19:04   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
xuan        3468  0.0  0.1 468408 11088 ?        Ssl  19:04   0:01 /usr/libexec/gnome-session-service --session=ubuntu
xuan        3480 17.5  4.4 7240952 334220 ?      Ssl  19:04  18:36 /usr/bin/gnome-shell --mode=ubuntu
xuan        3549  0.0  0.1 381076  8040 ?        Ssl  19:04   0:00 /usr/libexec/at-spi-bus-launcher
xuan        3556  0.0  0.0   8608  5140 ?        S    19:04   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
xuan        3558  0.0  0.1 168688  7520 ?        Sl   19:04   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
xuan        3608  0.0  0.2 658616 19052 ?        Sl   19:04   0:00 /usr/libexec/gnome-shell-calendar-server
xuan        3616  0.0  0.6 1225132 45348 ?       Ssl  19:04   0:00 /usr/libexec/evolution-source-registry
xuan        3626  0.0  0.0 171608  7352 ?        Ssl  19:04   0:00 /usr/libexec/gvfsd-metadata
xuan        3632  0.0  0.4 469388 31952 ?        Sl   19:04   0:00 /usr/libexec/goa-daemon
xuan        3639  0.0  0.4 2739096 31676 ?       Sl   19:04   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
xuan        3643  0.0  0.1 390540 10204 ?        Sl   19:04   0:00 /usr/libexec/goa-identity-service
xuan        3646  0.0  0.3 895960 26008 ?        Ssl  19:04   0:00 /usr/libexec/evolution-calendar-factory
xuan        3668  0.0  0.1 388124 11344 ?        Ssl  19:04   0:05 /usr/bin/ibus-daemon --panel disable
xuan        3671  0.0  0.1 256348 10352 ?        Ssl  19:04   0:00 /usr/libexec/gsd-a11y-settings
xuan        3673  0.0  0.1 254180 10024 ?        Ssl  19:04   0:00 /usr/libexec/gsd-color
xuan        3676  0.0  0.1 262712 12316 ?        Ssl  19:04   0:00 /usr/libexec/gsd-datetime
xuan        3678  0.0  0.1 393452 10412 ?        Ssl  19:04   0:00 /usr/libexec/gsd-housekeeping
xuan        3682  0.0  0.1 385688  7828 ?        Ssl  19:04   0:00 /usr/libexec/gsd-keyboard
xuan        3686  0.0  0.1 628032 13300 ?        Ssl  19:04   0:01 /usr/libexec/gsd-media-keys
xuan        3690  0.0  0.1 469748 11300 ?        Ssl  19:04   0:00 /usr/libexec/gsd-power
xuan        3692  0.0  0.1 330164 13896 ?        Ssl  19:04   0:00 /usr/libexec/gsd-print-notifications
xuan        3695  0.0  0.1 459524  7952 ?        Ssl  19:04   0:00 /usr/libexec/gsd-rfkill
xuan        3700  0.0  0.0 172432  7408 ?        Ssl  19:04   0:00 /usr/libexec/gsd-screensaver-proxy
xuan        3702  0.0  0.1 469952 12208 ?        Ssl  19:04   0:00 /usr/libexec/gsd-sharing
xuan        3704  0.0  0.1 388264  9020 ?        Ssl  19:04   0:00 /usr/libexec/gsd-smartcard
xuan        3710  0.0  0.1 312168  9352 ?        Sl   19:04   0:00 /usr/libexec/gsd-disk-utility-notify
xuan        3714  0.0  0.8 916540 61492 ?        Sl   19:04   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
xuan        3717  0.0  0.1 257500  9528 ?        Ssl  19:04   0:00 /usr/libexec/gsd-sound
xuan        3719  0.0  0.1 466564  9800 ?        Ssl  19:04   0:00 /usr/libexec/gsd-usb-protection
xuan        3721  0.0  0.4 570080 30160 ?        Sl   19:04   0:00 /usr/bin/update-notifier
xuan        3722  0.0  0.1 392972 10432 ?        Ssl  19:04   0:00 /usr/libexec/gsd-wwan
xuan        3844  0.0  0.1 171776  7724 ?        Sl   19:04   0:00 /usr/libexec/ibus-memconf
xuan        3848  0.1  0.4 500880 33008 ?        Sl   19:04   0:06 /usr/libexec/ibus-extension-gtk3
xuan        3869  0.0  0.1 311096  7904 ?        Sl   19:04   0:00 /usr/libexec/ibus-portal
xuan        3870  0.0  0.4 2738004 31088 ?       Sl   19:04   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
xuan        3872  0.0  0.2 732404 17152 ?        SNsl 19:04   0:00 /usr/libexec/localsearch-3
xuan        3875  0.0  2.4 4366460 184132 ?      Ssl  19:04   0:03 /bin/warp-taskbar
xuan        3878  0.0  0.1 402076 12320 ?        Sl   19:04   0:00 /usr/libexec/gsd-printer
xuan        3879  0.0  0.2 631740 19560 ?        Ssl  19:04   0:00 /usr/libexec/xdg-desktop-portal
xuan        3921  0.0  0.4 828616 30492 ?        Ssl  19:04   0:00 /usr/libexec/evolution-addressbook-factory
xuan        3945  0.0  0.5 895456 44632 ?        Ssl  19:04   0:00 /usr/libexec/xdg-desktop-portal-gnome
xuan        3980  0.0  0.1 389508 11080 ?        Ssl  19:04   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
xuan        3981  0.0  0.1 171772  7992 ?        Sl   19:04   0:01 /usr/libexec/ibus-engine-simple
xuan        3990  0.0  0.1 311448  7760 ?        Ssl  19:04   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
xuan        3995  0.0  0.0 310480  7260 ?        Ssl  19:04   0:00 /usr/libexec/gvfs-mtp-volume-monitor
xuan        4000  0.0  0.1 392472  9212 ?        Ssl  19:04   0:00 /usr/libexec/gvfs-afc-volume-monitor
xuan        4006  0.0  0.0 310432  7180 ?        Ssl  19:04   0:00 /usr/libexec/gvfs-goa-volume-monitor
xuan        4016  0.0  0.0 165480  6764 ?        Ssl  19:04   0:00 /usr/libexec/dconf-service
xuan        4024  0.0  0.1 537104  9888 ?        Sl   19:04   0:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
xuan        4564  0.0  0.1 174880 10872 ?        Sl   19:04   0:00 /usr/lib/warp/lib/crashpad_handler --no-rate-limit --database=/home/xuan/.sentry-native --metrics-dir=/home/xuan/.sentry-native --url=https://sentry10.cfdata.org:443/api/0/minidump/?sentry_client=sentry.native.flutter/0.13.3&sentry_key=dsn --attachment=/home/xuan/.sentry-native/4ccc083a-6bda-4509-a4b5-0694fe4e97d0.run/__sentry-event --attachment=/home/xuan/.sentry-native/4ccc083a-6bda-4509-a4b5-0694fe4e97d0.run/__sentry-breadcrumb1 --attachment=/home/xuan/.sentry-native/4ccc083a-6bda-4509-a4b5-0694fe4e97d0.run/__sentry-breadcrumb2 --report-id=64f5cf5d-3de6-4c8c-cae3-0ff30ef1b3e0 --initial-client-fd=40 --shared-client-connection
xuan        4601  0.0  1.1 3763348 84392 ?       Sl   19:04   0:04 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
xuan        4627  0.0  0.3 493232 25524 ?        Ssl  19:04   0:00 /usr/libexec/xdg-desktop-portal-gtk
xuan        4638  0.0  0.4 440104 35316 ?        Sl   19:04   0:00 /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
xuan        4957 42.0 11.7 13026532 876428 ?     Sl   19:05  44:21 /snap/firefox/8863/usr/lib/firefox/firefox
xuan        5049  0.0  0.0 149412  3284 ?        Sl   19:05   0:00 /snap/firefox/8863/usr/lib/firefox/crashhelper 4957 9 /tmp/ 11 20260904071051
xuan        5172  0.0  0.4 463388 34280 ?        S    19:05   0:00 /snap/firefox/8863/usr/lib/firefox/firefox -contentproc -ipcHandle 0 -signalPipe 1 -initialChannelId {d2d9cac3-7b59-4231-ba30-1d4937d764d9} -parentPid 4957 -greomni /snap/firefox/8863/usr/lib/firefox/omni.ja -appomni /snap/firefox/8863/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/8863/usr/lib/firefox/browser 1 forkserver
xuan        5204  0.0  0.6 476560 45868 ?        Sl   19:05   0:01 /snap/firefox/8863/usr/lib/firefox/firefox -contentproc -parentBuildID 20260904071051 -prefsHandle 0:37297 -prefMapHandle 1:294771 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {88afe8c0-cd8d-4508-bbcf-f0117622b2c6} -parentPid 4957 -crashHelperPid 5049 -crashHelper 5 -crashReporter 6 -appDir /snap/firefox/8863/usr/lib/firefox/browser 2 socket
xuan        5221  0.7  2.9 2792292 221432 ?      Sl   19:05   0:47 /snap/firefox/8863/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:37384 -prefMapHandle 1:294771 -jsInitHandle 2:160936 -parentBuildID 20260904071051 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {6daaa593-7467-428d-80ab-b5c5be48fa7e} -parentPid 4957 -crashHelperPid 5049 -crashHelper 6 -crashReporter 7 -greomni /snap/firefox/8863/usr/lib/firefox/omni.ja -appomni /snap/firefox/8863/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/8863/usr/lib/firefox/browser 3 tab
xuan        5230 37.9  2.0 1062848 156188 ?      Sl   19:05  40:00 /snap/firefox/8863/usr/lib/firefox/firefox -contentproc -parentBuildID 20260904071051 -prefsHandle 0:37384 -prefMapHandle 1:294771 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {ecc058fe-1224-4483-a33f-4d62aaca5075} -parentPid 4957 -crashHelperPid 5049 -crashHelper 5 -crashReporter 6 -appDir /snap/firefox/8863/usr/lib/firefox/browser 4 rdd
xuan        5274  0.0  0.3 1841376 25640 ?       Sl   19:05   0:00 /snap/snapd/current/usr/bin/snap userd
